,model_id,overwrite_with_best_model,hidden,epochs,score_validation_samples,score_duty_cycle,adaptive_rate,rate,rate_annealing,momentum_start,momentum_stable,momentum_ramp,l1,l2,max_w2
0,DeepLearning_1_AutoML_20190425_031629,False,"[10, 10, 10]",10.389150943396226,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
1,DeepLearning_1_AutoML_20190425_034434,False,"[10, 10, 10]",10.402628032345014,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
2,DeepLearning_1_AutoML_20190425_040839,False,"[10, 10, 10]",10.390161725067387,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
3,DeepLearning_1_AutoML_20190425_044008,False,"[10, 10, 10]",10.395552560646902,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
4,DeepLearning_grid_1_AutoML_20190425_031629_model_1,False,[500],8.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
5,DeepLearning_grid_1_AutoML_20190425_031629_model_2,False,"[50, 50]",8.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
6,DeepLearning_grid_1_AutoML_20190425_031629_model_3,False,"[200, 200]",8.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
7,DeepLearning_grid_1_AutoML_20190425_034434_model_1,False,[500],30.4,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
8,DeepLearning_grid_1_AutoML_20190425_034434_model_2,False,[50],8.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
9,DeepLearning_grid_1_AutoML_20190425_034434_model_3,False,[200],8.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
10,DeepLearning_grid_1_AutoML_20190425_034434_model_4,False,"[50, 50]",32.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
11,DeepLearning_grid_1_AutoML_20190425_034434_model_5,False,"[200, 200]",8.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
12,DeepLearning_grid_1_AutoML_20190425_034434_model_6,False,"[50, 50, 50]",25.6,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
13,DeepLearning_grid_1_AutoML_20190425_034434_model_7,False,"[200, 200, 200]",8.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
14,DeepLearning_grid_1_AutoML_20190425_040839_model_1,False,[50],529.6,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
15,DeepLearning_grid_1_AutoML_20190425_040839_model_2,False,[50],8.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
16,DeepLearning_grid_1_AutoML_20190425_040839_model_3,False,[200],8.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
17,DeepLearning_grid_1_AutoML_20190425_040839_model_4,False,"[200, 200]",43.2,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
18,DeepLearning_grid_1_AutoML_20190425_040839_model_5,False,"[500, 500]",1.5621293800539082,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
19,DeepLearning_grid_1_AutoML_20190425_040839_model_6,False,"[200, 200, 200]",7.440734501347708,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
20,DeepLearning_grid_1_AutoML_20190425_044008_model_1,False,[500],27.2,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
21,DeepLearning_grid_1_AutoML_20190425_044008_model_2,False,[500],8.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
22,DeepLearning_grid_1_AutoML_20190425_044008_model_3,False,"[200, 200]",17.6,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
23,DeepLearning_grid_1_AutoML_20190425_044008_model_4,False,"[200, 200]",8.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
24,DeepLearning_grid_1_AutoML_20190425_044008_model_5,False,"[200, 200, 200]",12.8,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
25,DeepLearning_grid_1_AutoML_20190425_044008_model_6,False,"[200, 200, 200]",8.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
