,model_id,ntrees,learn_rate,max_depth,sample_rate,col_sample_rate,score_each_iteration,seed,stopping_rounds,stopping_metric,stopping_tolerance
0,GBM_1_AutoML_20190425_031629,62,0.1,15,0.8,0.8,False,7224883551881429633,0,deviance,0.011609086505314302
1,GBM_1_AutoML_20190425_034434,60,0.1,15,0.8,0.8,False,-4047498393464258297,0,deviance,0.011609086505314302
2,GBM_1_AutoML_20190425_040839,58,0.1,15,0.8,0.8,False,6175533692118079760,0,deviance,0.011609086505314302
3,GBM_1_AutoML_20190425_044008,65,0.1,15,0.8,0.8,False,-441285879644080979,0,deviance,0.011609086505314302
4,GBM_2_AutoML_20190425_031629,62,0.1,15,0.8,0.8,False,7224883551881429633,0,deviance,0.011609086505314302
5,GBM_2_AutoML_20190425_034434,60,0.1,15,0.8,0.8,False,-4047498393464258297,0,deviance,0.011609086505314302
6,GBM_2_AutoML_20190425_040839,58,0.1,15,0.8,0.8,False,6175533692118079760,0,deviance,0.011609086505314302
7,GBM_2_AutoML_20190425_044008,65,0.1,15,0.8,0.8,False,-441285879644080979,0,deviance,0.011609086505314302
8,GBM_3_AutoML_20190425_031629,62,0.1,15,0.8,0.8,False,7224883551881429633,0,deviance,0.011609086505314302
9,GBM_3_AutoML_20190425_034434,60,0.1,15,0.8,0.8,False,-4047498393464258297,0,deviance,0.011609086505314302
10,GBM_3_AutoML_20190425_040839,58,0.1,15,0.8,0.8,False,6175533692118079760,0,deviance,0.011609086505314302
11,GBM_3_AutoML_20190425_044008,65,0.1,15,0.8,0.8,False,-441285879644080979,0,deviance,0.011609086505314302
12,GBM_4_AutoML_20190425_031629,62,0.1,15,0.8,0.8,False,7224883551881429633,0,deviance,0.011609086505314302
13,GBM_4_AutoML_20190425_034434,60,0.1,15,0.8,0.8,False,-4047498393464258297,0,deviance,0.011609086505314302
14,GBM_4_AutoML_20190425_040839,58,0.1,15,0.8,0.8,False,6175533692118079760,0,deviance,0.011609086505314302
15,GBM_4_AutoML_20190425_044008,65,0.1,15,0.8,0.8,False,-441285879644080979,0,deviance,0.011609086505314302
16,GBM_5_AutoML_20190425_031629,62,0.1,15,0.8,0.8,False,7224883551881429633,0,deviance,0.011609086505314302
17,GBM_5_AutoML_20190425_034434,60,0.1,15,0.8,0.8,False,-4047498393464258297,0,deviance,0.011609086505314302
18,GBM_5_AutoML_20190425_040839,58,0.1,15,0.8,0.8,False,6175533692118079760,0,deviance,0.011609086505314302
19,GBM_5_AutoML_20190425_044008,65,0.1,15,0.8,0.8,False,-441285879644080979,0,deviance,0.011609086505314302
20,GBM_grid_1_AutoML_20190425_031629_model_1,94,0.05,9,0.9,1.0,False,8207528746136263964,0,deviance,0.011609086505314302
21,GBM_grid_1_AutoML_20190425_031629_model_2,30,0.8,15,0.7,1.0,False,-5601301954470354295,0,deviance,0.011609086505314302
22,GBM_grid_1_AutoML_20190425_031629_model_3,104,0.05,15,0.7,0.7,False,47605658123363556,0,deviance,0.011609086505314302
23,GBM_grid_1_AutoML_20190425_031629_model_4,90,0.001,17,0.9,1.0,False,-4890404642995617793,0,deviance,0.011609086505314302
24,GBM_grid_1_AutoML_20190425_031629_model_5,135,0.005,6,0.8,0.7,False,3753904886134921359,0,deviance,0.011609086505314302
25,GBM_grid_1_AutoML_20190425_031629_model_6,5,0.8,17,1.0,0.7,False,-1305402648528411279,0,deviance,0.011609086505314302
26,GBM_grid_1_AutoML_20190425_034434_model_1,729,0.001,10,0.8,0.4,False,1410357535471554209,0,deviance,0.011609086505314302
27,GBM_grid_1_AutoML_20190425_034434_model_2,334,0.01,9,0.7,1.0,False,444921593099312736,0,deviance,0.011609086505314302
28,GBM_grid_1_AutoML_20190425_034434_model_3,487,0.001,17,0.7,0.7,False,-3917196823294341591,0,deviance,0.011609086505314302
29,GBM_grid_1_AutoML_20190425_034434_model_4,61,0.1,11,0.9,0.7,False,699962976991480881,0,deviance,0.011609086505314302
30,GBM_grid_1_AutoML_20190425_034434_model_5,100,0.1,5,0.9,1.0,False,-3681137519580778394,0,deviance,0.011609086505314302
31,GBM_grid_1_AutoML_20190425_034434_model_6,145,0.01,12,1.0,0.7,False,-7217941094633065686,0,deviance,0.011609086505314302
32,GBM_grid_1_AutoML_20190425_034434_model_7,4,0.5,8,1.0,1.0,False,3342921263531951771,0,deviance,0.011609086505314302
33,GBM_grid_1_AutoML_20190425_040839_model_1,357,0.008,15,0.7,0.7,False,-2648944990099949971,0,deviance,0.011609086505314302
34,GBM_grid_1_AutoML_20190425_040839_model_10,277,0.01,4,0.7,0.7,False,1745231259963397662,0,deviance,0.011609086505314302
35,GBM_grid_1_AutoML_20190425_040839_model_11,311,0.01,4,0.7,0.4,False,1276172678072786484,0,deviance,0.011609086505314302
36,GBM_grid_1_AutoML_20190425_040839_model_12,34,0.5,10,0.6,1.0,False,-3870717101120213072,0,deviance,0.011609086505314302
37,GBM_grid_1_AutoML_20190425_040839_model_13,89,0.5,10,0.8,1.0,False,8150671539268290391,0,deviance,0.011609086505314302
